Date,AAPL,CAT,CVX,DUK,GS,HD,INTC,JNJ,JPM,KO,MCD,MMM,MSFT,NEM,PFE,PG,UNH,VZ,WFC,XOM
2010-01-04,6.418381690979004,39.1988639831543,41.66912841796875,25.36832046508789,130.64154052734375,19.57179832458496,13.519426345825195,40.4184455871582,28.423940658569336,17.435400009155273,40.557701110839844,42.9725456237793,23.130054473876953,34.221492767333984,9.35495662689209,38.417022705078125,24.59743881225586,13.516664505004883,18.0260009765625,37.881805419921875
2010-01-05,6.429482460021973,39.667503356933594,41.964263916015625,24.949758529663086,132.95123291015625,19.715152740478516,13.512948989868164,39.94976806640625,28.974502563476562,17.224485397338867,40.24761199951172,42.7033805847168,23.137523651123047,34.31332015991211,9.221524238586426,38.429595947265625,24.558433532714844,13.541033744812012,18.52086067199707,38.02971649169922
2010-01-06,6.327210426330566,39.78802490234375,41.969539642333984,25.039451599121094,131.53216552734375,19.646892547607422,13.467632293701172,40.274715423583984,29.133695602416992,17.21837615966797,39.698490142822266,43.30900192260742,22.995534896850586,35.040809631347656,9.191874504089355,38.24732208251953,24.80027961730957,13.151676177978516,18.547245025634766,38.358402252197266
2010-01-07,6.315512657165527,39.948707580566406,41.81141662597656,25.159040451049805,134.1060333251953,19.878995895385742,13.33813190460205,39.987274169921875,29.710796356201172,17.175575256347656,39.98920440673828,43.34004592895508,22.756391525268555,34.8148078918457,9.157279014587402,38.03990936279297,25.752025604248047,13.073392868041992,19.220260620117188,38.237884521484375
2010-01-08,6.357501983642578,40.397254943847656,41.88521194458008,25.17399024963379,131.56993103027344,19.78341293334961,13.487054824829102,40.124732971191406,29.637832641601562,16.857681274414062,39.950439453125,43.64544677734375,22.913331985473633,35.04790496826172,9.231407165527344,37.98960876464844,25.510196685791016,13.081632614135742,19.042110443115234,38.08448028564453
2010-01-11,6.301418781280518,42.93464279174805,42.62834548950195,25.428115844726562,129.4942626953125,19.223644256591797,13.564750671386719,40.13098907470703,29.538328170776367,17.200029373168945,40.26053237915039,43.469478607177734,22.621862411499023,35.44342803955078,9.305535316467285,37.838768005371094,25.681827545166016,13.135194778442383,19.002511978149414,38.51177978515625
2010-01-12,6.229739189147949,41.669307708740234,42.380645751953125,25.458023071289062,126.6712875366211,19.100759506225586,13.344609260559082,40.343441009521484,28.848466873168945,17.386491775512695,40.48017883300781,43.50569534301758,22.472400665283203,34.27093505859375,9.275887489318848,38.272464752197266,25.003101348876953,13.147550582885742,18.52745246887207,38.320045471191406
2010-01-13,6.317611217498779,41.72955322265625,42.05915832519531,25.517810821533203,127.61480712890625,19.20315933227539,13.571227073669434,40.59967041015625,29.35260772705078,17.432340621948242,40.43497085571289,43.36591720581055,22.681652069091797,34.43338394165039,9.493328094482422,38.66845703125,25.3853702545166,13.131074905395508,18.857364654541016,38.16666030883789
2010-01-14,6.28102445602417,41.49522399902344,41.92738342285156,25.517810821533203,127.20720672607422,19.319210052490234,13.907916069030762,40.680908203125,29.64447021484375,17.462909698486328,40.473724365234375,43.22099685668945,23.137523651123047,34.20028305053711,9.577338218688965,38.70615768432617,25.993865966796875,12.863261222839355,19.127883911132812,38.17215347290039
2010-01-15,6.176055431365967,40.52458953857422,41.75871658325195,25.26368522644043,124.70126342773438,19.50352668762207,13.467632293701172,40.343441009521484,28.974502563476562,17.206146240234375,40.23468780517578,43.153709411621094,23.062789916992188,33.628177642822266,9.631701469421387,38.228477478027344,26.329317092895508,12.599568367004395,18.52745246887207,37.85987854003906
2010-01-19,6.449274063110352,41.0705680847168,41.995887756347656,25.547712326049805,125.94662475585938,19.715152740478516,13.629497528076172,40.83713150024414,28.709150314331055,17.245882034301758,41.009918212890625,44.05955505371094,23.242158889770508,34.21443176269531,9.883734703063965,38.794151306152344,27.405908584594727,12.867379188537598,18.659414291381836,37.947532653808594
2010-01-20,6.350003242492676,40.281925201416016,41.189517974853516,25.30852508544922,126.64860534667969,19.564970016479492,13.64892292022705,40.71213912963867,28.788772583007812,16.96466827392578,40.70629119873047,43.85250473022461,22.86101531982422,32.780574798583984,9.854084968566895,38.26872634887695,26.95342445373535,12.653130531311035,18.355905532836914,37.26823806762695
2010-01-21,6.240236282348633,38.32040786743164,40.18281555175781,24.9348087310791,121.42534637451172,19.442092895507812,13.493526458740234,39.97476577758789,26.89162254333496,16.619253158569336,40.82905197143555,42.80691146850586,22.42755889892578,31.389114379882812,9.508151054382324,37.88254165649414,25.822248458862305,12.62016773223877,18.474666595458984,36.539634704589844
2010-01-22,5.930728912353516,36.56783676147461,39.313175201416016,24.74047088623047,116.33042907714844,18.923267364501953,12.89136791229248,39.49358367919922,25.976238250732422,16.579526901245117,40.95178985595703,42.1754264831543,21.642852783203125,31.382055282592773,9.369778633117676,38.18009948730469,25.86905288696289,12.500682830810547,17.98641014099121,36.210941314697266
2010-01-25,6.090281009674072,37.16775131225586,39.29210662841797,24.904903411865234,116.97956085205078,18.855009078979492,13.156841278076172,39.50608825683594,26.009384155273438,16.613142013549805,40.757972717285156,42.35658645629883,21.911895751953125,31.1701717376709,9.315420150756836,38.382667541503906,25.74422836303711,12.640768051147461,18.250343322753906,36.073997497558594
2010-01-26,6.176353454589844,37.64633560180664,39.081275939941406,25.129146575927734,113.88487243652344,18.930091857910156,12.949640274047852,39.23738098144531,25.498611450195312,16.54895782470703,41.22312545776367,42.25305938720703,22.046417236328125,31.24785614013672,9.280828475952148,38.420658111572266,25.307355880737305,12.430642127990723,17.808263778686523,36.112342834472656
