,0
2015-01-07,0.06954790928869431
2015-02-06,0.005948716145967186
2015-03-10,0.012657258173746355
2015-04-09,-0.010485123773723716
2015-05-08,-0.004534629033507596
2015-06-09,-0.006847333321120833
2015-07-09,0.011655168873859215
2015-08-07,-0.06467215943256438
2015-09-08,0.035114544521643795
2015-10-07,0.04301735026191168
2015-11-05,0.007316449087902556
2015-12-07,-0.052748808883629504
2016-01-07,-0.029721492044154193
2016-02-08,0.052208894408331985
2016-03-09,0.04020516850575844
2016-04-08,0.014917360138301642
2016-05-09,0.003109496128349232
2016-06-08,0.03079073807345396
2016-07-08,0.018349156550605174
2016-08-08,-0.023836252202420104
2016-09-07,-0.0219854468785743
2016-10-06,-0.03143802415641901
2016-11-04,0.05932708522590893
2016-12-06,0.035146780416819
2017-01-06,-0.003990897991462509
2017-02-07,0.0656038826947183
2017-03-09,0.0005277415281762419
2017-04-07,0.03227988550436605
2017-05-09,0.0332733442689505
2017-06-08,0.008206289172086604
2017-07-10,0.013574606682745818
2017-08-08,0.004616257138448178
2017-09-07,0.03470874309059224
2017-10-06,0.048484442681456366
2017-11-06,0.039151343759238906
2017-12-06,0.03484222943188658
2018-01-08,-0.018434739658307813
2018-02-07,0.0036483969366278768
2018-03-09,-0.03694160669435309
2018-04-10,0.0488222787812198
2018-05-09,0.050947792917736275
2018-06-08,-0.003962977844118399
2018-07-10,0.037805240023080146
2018-08-08,0.03697574198498809
2018-09-07,-0.0013223612580218274
2018-10-08,-0.047052735380189295
2018-11-06,0.00010002933516700922
2018-12-07,-0.04907160974805609
2019-01-09,0.03292952589994748
2019-02-08,0.006723150202768424
2019-03-12,0.04804581744008166
2019-04-10,-0.006123958567460185
2019-05-10,0.03113196342731937
2019-06-11,0.0408750705604581
2019-07-11,0.0034830393327924336
2019-08-09,0.012039841390531924
2019-09-10,-0.024595763270483822
2019-10-09,0.03998256158368451
2019-11-07,0.02717891741455447
2019-12-09,0.045393535152749936
2020-01-09,0.04137717875373368
2020-02-10,-0.09012716805612081
2020-03-11,-0.03705286730769061
2020-04-09,0.10313646485357748
2020-05-11,0.0414483991805625
2020-06-10,0.017485770496583817
2020-07-10,0.08079731227233046
2020-08-10,-0.012586025246835377
2020-09-09,0.011917783749300845
2020-10-08,0.04281946318853401
2020-11-06,-0.005877232915652975
2020-12-08,0.04459593607984454
2021-01-08,0.003906957943876559
2021-02-09,-0.00417557853848646
2021-03-11,0.07121770798978158
2021-04-12,0.03327638356961645
2021-05-11,-0.004301761322310248
2021-06-10,0.025956186330717335
2021-07-12,0.0019503696814467022
2021-08-10,0.02333857335843454
2021-09-09,-0.02388001831121122
2021-10-08,0.07423907322128688
2021-11-08,0.053629941482568215
2021-12-08,0.0021765934274584294
2022-01-07,-0.02474418173185844
2022-02-08,-0.02129408572808229
2022-03-10,0.06052559014464243
2022-04-08,-0.10976075785896806
2022-05-10,-0.0015379126945289172
2022-06-09,-0.04019560710065809
2022-07-12,0.008283410211676707
2022-08-10,-0.04980539000992762
2022-09-09,-0.08427739530833629
2022-10-10,0.05142845642442496
2022-11-08,0.039224351030191576
2022-12-08,-0.0409577392164504
2023-01-10,0.043150304172342654
2023-02-09,-0.04500577262927647
2023-03-13,0.09440624814384946
2023-04-12,0.02942243440953398
2023-05-11,0.0059483372241489335
2023-06-12,0.020295777222033354
2023-07-13,-0.0070840784671576725
2023-08-11,0.004701183754538587
2023-09-12,-0.04106824838440429
2023-10-11,0.023206527763681022
2023-11-09,0.037856732181754935
2023-12-11,0.02607888929256885
2024-01-11,0.03667426770282544
2024-02-12,0.005946694253778229
2024-03-13,0.015760306779041243
2024-04-12,0.021531994912949257
2024-05-13,0.011938517432097815
2024-06-12,0.04866587449592323
2024-07-15,-0.01587526443817417
2024-08-13,0.024537601199843634
2024-09-12,0.050413296541884305
2024-10-11,0.013103710006001067
2024-11-11,0.009011550863023453
