,Annual Return,Annual Volatility,Sharpe Ratio,Calmar Ratio,Max Drawdown,Total Return,Num Periods,Forecast_rmse,Forecast_mae,Forecast_hit_rate
Baseline 1 (Hist Mean),0.16080056142938814,0.12834923871702025,0.9264599956744832,0.6640043303722111,-0.2421679408916664,3.38712114756209,119.0,0.06952216454892773,0.05063428376447924,0.561344537815126
Baseline 2 (StatsForecast),0.13077108345297517,0.13263016541015082,0.7010664435929626,0.6310055841988079,-0.20724235526222182,2.3829770288373284,119.0,0.06978258877853276,0.051042991492255725,0.527735368956743
PatchTST,0.12195392135343996,0.12128702122304523,0.6895567772457749,0.7756397583686753,-0.1572301059062951,2.1302975625851386,119.0,0.07680381854366337,0.055937878125725926,0.5121848739495798
