,Annual Return,Annual Volatility,Sharpe Ratio,Calmar Ratio,Max Drawdown,Total Return,Num Periods,Forecast_rmse,Forecast_mae,Forecast_hit_rate
Baseline 1 (Hist Mean),0.16080070796683787,0.12834928326802875,0.926460714854932,0.6640044403418788,-0.24216812147226868,3.3871266396389537,119.0,0.0695221720180903,0.05063429091260506,0.561344537815126
Baseline 2 (StatsForecast),0.12939125238855698,0.1333773729605323,0.6886709267863875,0.586585472812885,-0.22058379960908361,2.34226202553652,119.0,0.06978935316054995,0.05104650144609168,0.527013251783894
PatchTST,0.14557533159410485,0.12629571862409078,0.8335049738493072,1.0737777521103256,-0.13557305625675478,2.8487339735587076,119.0,0.0847477236467496,0.06199240487522777,0.5172268907563026
