,Annual Return,Annual Volatility,Sharpe Ratio,Calmar Ratio,Max Drawdown,Total Return,Num Periods,Forecast_rmse,Forecast_mae,Forecast_hit_rate
Baseline 1 (Hist Mean),0.16080072429052406,0.12834921550059425,0.9264612455655843,0.6640048422951137,-0.24216799946024634,3.3871272514347472,119.0,0.06952216273603262,0.05063428156711213,0.5609243697478992
Baseline 2 (StatsForecast),0.13195453369592203,0.13326202845274782,0.7062524651127555,0.6367156088779022,-0.2072424986226871,2.418252057358808,119.0,0.06979581871779027,0.051048774499374325,0.5282442748091603
PatchTST,0.1315489462868935,0.12883935174193414,0.7223037401824961,0.8959731601171684,-0.14682241850826264,2.4061256649642604,119.0,0.08468204848275068,0.062171731311248125,0.5105042016806722
