,Annual Return,Annual Volatility,Sharpe Ratio,Calmar Ratio,Max Drawdown,Total Return,Num Periods,Forecast_rmse,Forecast_mae,Forecast_hit_rate
Baseline 1 (Hist Mean),0.1608005208749852,0.12834929427909783,0.9264593736587412,0.6640037951828598,-0.24216807500430385,3.3871196276247746,119.0,0.06952217204841354,0.05063429037300186,0.5609243697478992
Baseline 2 (StatsForecast),0.1319791636038008,0.13248063780664907,0.7098576558328576,0.6368345711097925,-0.2072424607442474,2.4189896995236526,119.0,0.0697788838016211,0.0510376063763768,0.5264496439471007
PatchTST,0.10780126355111275,0.12368592065224156,0.5752214354029578,0.6933455431359336,-0.15547985361460356,1.7600274854549363,119.0,0.07692512788733893,0.055141665623643504,0.5369747899159664
